data_id,dia_semana,horario_pico,gatos_adotados,faturamento_diario,alcance_instagram,alcance_facebook,alcance_tiktok,idade_instagram,idade_facebook,idade_tiktok,qtd_clientes,maioria_sexo
10/06/2019,QUARTA,15:00,2,6034.5,342,102,365,18-26,28-36,15-21,73,F
11/06/2019,QUINTA,14:30,1,5156.2,315,88,301,18-25,30-37,15-20,54,M
12/06/2019,SEXTA,18:00,5,6328.14,423,131,541,17-28,24-41,14-24,64,F
13/06/2019,SABADO,13:30,3,3951.53,326,94,314,17-26,31-38,15-21,43,F
14/06/2019,DOMINGO,13:30,0,6401.9,310,83,303,17-24,29-35,14-21,66,F
15/06/2019,SEGUNDA,16:00,0,5956.89,292,78,306,16-26,30-47,14-24,59,M
16/06/2019,TERÇA,15:30,0,3104.54,286,75,300,15-24,28-38,14-29,31,F
17/06/2019,QUARTA,13:30,2,1501.33,343,98,470,17-28,24-41,14-19,24,F
18/06/2019,QUINTA,15:00,1,1945.22,211,70,300,18-26,23-32,14-19,27,M
19/06/2019,SEXTA,17:30,0,2300.37,556,200,180,17-28,17-29,14-25,23,M
20/06/2019,SABADO,14:00,0,1457.89,754,162,136,16-24,16-25,14-26,17,F
21/06/2019,DOMINGO,14:30,2,1300.32,333,231,480,17-31,18-30,15-23,19,F
22/06/2019,SEGUNDA,19:00,0,1000,212,40,100,21-36,20-31,14-19,10,F
23/06/2019,TERÇA,18:30,0,1600.44,254,56,132,21-34,22-35,14-20,13,M
24/06/2019,QUARTA,15:00,0,1295.5,171,67,8.884,21-32,26-56,14-21,43,F
25/06/2019,QUINTA,16:30,0,2497.99,299,99,248,20-30,31-45,14-22,20,F
26/06/2019,SEXTA,16:00,0,2567.5,421,250,58,19-30,24-64,14-20,33,F
27/06/2019,SÁBADO,14:00,1,3405.8,300,146,1.000.000,21-36,28-53,15-21,39,M
28/06/2019,DOMINGO,14:30,3,3302.33,250,320,252000,20-33,21-40,15-22,38,F
29/06/2019,SEGUNDA,17:30,0,2114.56,207,44,101,19-30,20-34,15-24,22,M
30/06/2019,TERÇA,17:00,1,3015.33,234,57,122,19-28,21-32,13-20,34,M
01/07/2019,QUARTA,18:00,1,3250.5,266,66,55000,20-32,22-34,14-21,38,F
02/07/2019,QUINTA,15:30,0,3030,530,94,24587,19-33,20-33,14-22,34,F
03/07/2019,SEXTA,16:00,2,4458.4,672,119,979,18-30,23-39,13-25,44,M
04/07/2019,SÁBADO,13:00,3,3575.8,467,114,220,19-28,21-35,14-23,32,F
05/07/2019,DOMINGO,13:30,2,"1034,98",533,201,66641,18-30,24-40,13-24,23,F
06/07/2019,SEGUNDA,15:30,1,3465.5,274,158,202,19-30,25-43,14-26,36,M
07/07/2019,TERÇA,17:00,2,3209.39,245,133,189,18-33,25-38,14-25,32,M
08/07/2019,QUARTA,16:00,0,3598.7,322,179,221,18-30,23-36,13-24,43,F
09/07/2019,QUINTA,16:30,3,4126,58,188,222,19-29,24-36,16-27,50,M
10/07/2019,SEXTA,15:30,2,"2004,63",444,201,210,17-30,22-38,14-28,23,F
11/07/2019,DOMINGO,10:30,0,990.84,413,144,157,16-31,21-37,15-27,19,F
12/07/2019,SEGUNDA,14:00,0,1000,601,98,500,15-24,22-34,17-22,20,M
13/07/2019,TERÇA,16:00,3,2500.56,127,210,1005,17-30,19-37,15-21,27,M
14/07/2019,QUARTA,18:30,2,1908.3,336,125,157,22-35,17-39,15-26,23,F
15/07/2019,QUINTA,12:00,1,950.25,214,225,21000,15-28,20-34,16-23,20,F
16/07/2019,SEXTA,17:30,1,3014.64,589,87,5000,17-24,25-44,13-20,37,F
17/07/2019,SABADO,12:00,2,988.45,778,334,6550,19-33,19-37,13-22,21,M
18/07/2019,DOMINGO,13:00,1,1784.29,301,389,270000,16-27,24-49,14-23,27,M
19/07/2019,SEGUNDA,17:00,1,4002.2,965,605,2500,21-33,18-34,16-23,46,M
20/07/2019,TERÇA,13:30,0,2021.65,267,345,678,19-28,24-37,13-21,24,M
21/07/2019,QUARTA,11:00,0,840.55,123,150,1897,14-37,22-40,15-20,12,F
22/07/2019,QUINTA,15:30,0,1218,120,26,360000,17-28,24-41,14-24,21,M
20/07/2019,SEXTA,16:30,0,2990,371,130,35000,17-26,31-38,15-21,25,F
21/07/2019,SABADO,14:00,1,3560.7,410,156,207489,17-24,29-35,14-21,44,M
22/07/2019,DOMINGO,11:00,0,1786,296,125,193,16-26,30-47,14-24,27,M
23/07/2019,SEGUNDA,18:30,2,1215,270,81,161,15-24,28-38,16-23,22,F
24/07/2019,TERÇA,15:30,0,1078,230,97,191,17-28,24-41,15-19,20,F
25/07/2019,QUARTA,17:30,0,1093.81,381,103,203,18-26,23-32,14-20,21,F
26/07/2019,QUINTA,15:30,0,1017.36,310,125,250,17-28,17-29,15-25,19,M
27/07/2019,SEXTA,16:00,3,4136.94,831,264,478,16-24,16-25,14-26,47,M
28/07/2019,SABADO,19:00,0,2935,413,144,531,17-31,18-30,15-23,25,F
29/07/2019,DOMINGO,13:00,1,1915,391,131,410,21-36,20-31,14-21,20,F
